",Id,Age,Job,Marital,Education,Default,Balance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance
165,166,26.0,blue-collar,single,secondary,0.0,82.0,0.0,,9.0,may,1.0,0.0,,10:04:16,10:15:10,1
166,167,58.0,unemployed,divorced,secondary,,729.0,1.0,cellular,9.0,feb,2.0,0.0,,17:48:25,17:49:25,0
167,168,46.0,services,married,secondary,0.0,273.0,0.0,cellular,22.0,aug,2.0,0.0,,10:21:06,10:30:31,1
168,169,28.0,management,single,secondary,0.0,2840.0,0.0,cellular,20.0,apr,5.0,0.0,,10:14:42,10:18:29,1
169,170,57.0,technician,,secondary,0.0,253.0,1.0,,3.0,jul,3.0,0.0,,16:38:41,16:42:31,0
170,171,36.0,technician,single,secondary,0.0,2921.0,0.0,telephone,31.0,jul,7.0,0.0,,10:46:54,10:47:49,0
171,172,44.0,blue-collar,married,secondary,0.0,16178.0,0.0,cellular,21.0,nov,1.0,0.0,,13:55:29,14:00:26,0
172,173,54.0,services,divorced,secondary,0.0,0.0,0.0,cellular,18.0,mar,1.0,3.0,success,09:10:43,09:16:45,1
173,174,38.0,technician,married,secondary,0.0,557.0,0.0,cellular,16.0,nov,4.0,0.0,,11:41:55,12:07:51,1
174,175,34.0,management,single,tertiary,0.0,4348.0,0.0,cellular,28.0,aug,8.0,0.0,,09:34:44,09:40:57,0
175,176,27.0,services,single,secondary,0.0,683.0,0.0,,9.0,may,3.0,0.0,,11:14:40,11:15:24,0
176,177,29.0,self-employed,single,tertiary,0.0,1579.0,0.0,cellular,13.0,oct,1.0,5.0,success,10:19:56,10:23:06,1
177,178,31.0,blue-collar,married,tertiary,0.0,2827.0,0.0,,8.0,may,3.0,0.0,,09:18:31,09:22:29,0
178,179,50.0,technician,divorced,secondary,0.0,0.0,0.0,cellular,29.0,sep,1.0,2.0,,09:30:25,09:33:04,1
179,180,60.0,retired,married,tertiary,0.0,108.0,0.0,cellular,26.0,aug,1.0,0.0,,11:56:00,12:06:24,1
180,181,32.0,services,married,secondary,0.0,243.0,1.0,,6.0,may,1.0,0.0,,14:49:11,14:51:35,0
181,182,36.0,services,married,secondary,0.0,-27.0,1.0,cellular,7.0,jul,4.0,0.0,,12:12:43,12:15:14,0
182,183,45.0,admin.,married,secondary,0.0,205.0,0.0,cellular,4.0,may,1.0,2.0,success,17:21:58,17:31:10,1
183,184,40.0,technician,divorced,tertiary,0.0,,,,17.0,jun,1.0,0.0,,11:05:32,11:14:14,1
184,185,,technician,married,secondary,0.0,497.0,0.0,,14.0,apr,1.0,0.0,,10:46:03,10:48:56,1
185,186,30.0,management,single,tertiary,0.0,985.0,0.0,cellular,25.0,oct,1.0,,success,12:09:48,12:14:52,1
186,187,31.0,management,,tertiary,0.0,3739.0,0.0,cellular,11.0,aug,3.0,0.0,,10:10:02,10:11:59,0
187,188,28.0,management,single,tertiary,0.0,6784.0,0.0,cellular,1.0,oct,1.0,3.0,other,14:02:32,14:10:54,1
188,189,49.0,blue-collar,divorced,primary,0.0,-9.0,1.0,,5.0,may,1.0,0.0,,16:54:35,17:01:04,0
189,190,34.0,self-employed,married,tertiary,0.0,0.0,0.0,cellular,28.0,aug,11.0,0.0,,11:25:10,11:37:20,1
190,191,51.0,blue-collar,divorced,secondary,0.0,113.0,0.0,cellular,15.0,may,3.0,0.0,,09:38:11,09:39:22,0
191,192,35.0,unemployed,divorced,primary,,,0.0,,20.0,jun,4.0,0.0,,16:57:51,16:58:03,0
192,193,41.0,student,single,secondary,0.0,595.0,0.0,,18.0,sep,1.0,2.0,success,14:43:39,14:44:01,0
193,194,49.0,housemaid,married,primary,0.0,0.0,0.0,telephone,9.0,jul,1.0,0.0,,10:35:31,10:37:17,0
194,195,33.0,management,single,tertiary,0.0,3143.0,0.0,cellular,29.0,jun,2.0,0.0,,16:01:11,16:08:12,1
195,196,53.0,admin.,married,secondary,0.0,53.0,0.0,cellular,18.0,may,1.0,0.0,,11:51:17,11:57:44,1
196,197,45.0,management,married,tertiary,0.0,1447.0,1.0,cellular,7.0,jul,2.0,0.0,,17:49:12,17:56:53,0
197,198,36.0,self-employed,divorced,tertiary,0.0,6385.0,0.0,cellular,21.0,nov,2.0,0.0,,13:21:55,13:23:05,0
198,199,43.0,management,married,tertiary,0.0,3186.0,0.0,cellular,16.0,nov,1.0,1.0,failure,15:07:14,15:13:34,1
199,200,,blue-collar,married,primary,0.0,290.0,0.0,cellular,15.0,may,1.0,3.0,failure,12:06:11,12:08:39,0
200,201,56.0,blue-collar,married,primary,0.0,8163.0,0.0,cellular,14.0,aug,4.0,0.0,,10:49:49,11:10:20,1
201,202,48.0,admin.,married,secondary,0.0,13551.0,0.0,,11.0,jun,3.0,0.0,,09:23:19,09:24:48,0
202,203,40.0,technician,single,tertiary,0.0,431.0,0.0,cellular,7.0,jul,2.0,0.0,,17:11:55,17:14:55,1
203,204,60.0,admin.,married,secondary,0.0,711.0,0.0,cellular,12.0,aug,4.0,0.0,,11:28:17,11:34:12,0
204,205,45.0,admin.,married,secondary,0.0,0.0,0.0,cellular,14.0,aug,2.0,0.0,,09:28:25,09:30:18,0
205,206,45.0,technician,single,,0.0,7108.0,1.0,,30.0,may,3.0,0.0,,13:22:02,13:42:14,0
206,207,55.0,technician,divorced,secondary,1.0,4.0,0.0,cellular,28.0,jan,1.0,0.0,,15:22:04,15:39:32,1
207,208,41.0,blue-collar,married,primary,0.0,3658.0,0.0,cellular,9.0,apr,1.0,1.0,failure,15:06:29,15:10:57,0
208,209,46.0,management,married,tertiary,0.0,699.0,0.0,cellular,30.0,apr,1.0,1.0,failure,13:49:36,14:05:46,1
209,210,41.0,entrepreneur,married,secondary,0.0,8491.0,0.0,cellular,18.0,nov,1.0,0.0,,11:27:47,11:43:16,1
210,211,51.0,admin.,married,secondary,0.0,423.0,1.0,cellular,16.0,jul,5.0,2.0,failure,09:05:35,09:06:59,0
211,212,55.0,technician,divorced,tertiary,0.0,0.0,0.0,cellular,17.0,nov,2.0,1.0,success,09:38:42,09:40:56,1
212,213,34.0,services,married,secondary,0.0,790.0,0.0,cellular,20.0,apr,2.0,1.0,failure,13:15:22,13:25:01,0
213,214,40.0,admin.,married,secondary,0.0,341.0,0.0,cellular,31.0,jul,5.0,0.0,,12:18:41,12:37:43,1
214,215,31.0,unemployed,single,secondary,0.0,582.0,0.0,cellular,5.0,jun,2.0,0.0,,14:53:34,15:02:42,1
215,216,32.0,management,single,tertiary,0.0,623.0,0.0,cellular,6.0,jul,3.0,2.0,failure,10:53:19,10:58:54,1
216,217,37.0,services,single,secondary,0.0,1045.0,0.0,cellular,4.0,feb,1.0,0.0,,13:33:29,13:38:30,0
217,218,,services,married,secondary,0.0,0.0,0.0,cellular,29.0,jan,2.0,0.0,,16:39:03,16:42:47,0
218,219,56.0,retired,married,tertiary,0.0,281.0,0.0,cellular,3.0,mar,2.0,0.0,,17:26:47,17:28:23,1
219,220,26.0,blue-collar,single,primary,0.0,-295.0,0.0,cellular,6.0,may,1.0,0.0,,09:51:59,09:54:17,0
220,221,45.0,management,married,tertiary,0.0,160.0,0.0,cellular,10.0,,2.0,1.0,success,11:56:01,11:59:03,1
221,222,32.0,management,married,secondary,0.0,134.0,1.0,cellular,15.0,may,3.0,0.0,,11:52:39,12:01:31,1
222,223,41.0,management,married,tertiary,0.0,472.0,0.0,cellular,10.0,jul,1.0,0.0,,09:44:38,09:57:41,0
223,224,28.0,blue-collar,married,secondary,0.0,,0.0,,13.0,may,1.0,0.0,,16:57:01,17:00:21,0
224,225,42.0,blue-collar,married,secondary,0.0,0.0,0.0,cellular,30.0,jan,2.0,0.0,,12:29:50,12:31:12,0
225,226,46.0,technician,married,secondary,0.0,179.0,1.0,,18.0,jun,1.0,0.0,,17:06:35,17:08:44,0
226,227,55.0,retired,divorced,tertiary,0.0,0.0,0.0,cellular,18.0,may,1.0,1.0,success,14:07:10,14:17:26,1
227,228,26.0,student,single,tertiary,0.0,641.0,0.0,cellular,15.0,may,1.0,1.0,,17:04:03,17:04:58,0
228,229,29.0,management,single,tertiary,0.0,3041.0,0.0,cellular,8.0,may,3.0,0.0,,09:04:51,09:14:57,1
229,230,40.0,management,divorced,tertiary,0.0,502.0,0.0,cellular,3.0,feb,4.0,3.0,other,13:22:49,13:27:16,0
230,231,29.0,management,single,tertiary,0.0,2531.0,0.0,cellular,19.0,aug,1.0,0.0,,12:09:37,12:20:11,1
231,232,33.0,,married,secondary,0.0,218.0,1.0,cellular,10.0,aug,1.0,4.0,failure,15:57:04,15:59:46,0
232,233,43.0,technician,single,,0.0,11115.0,0.0,cellular,23.0,oct,1.0,,success,15:38:46,15:46:42,1
233,234,31.0,technician,married,secondary,0.0,-119.0,0.0,cellular,18.0,may,5.0,0.0,,14:50:50,14:50:59,0
234,235,27.0,technician,,secondary,0.0,158.0,0.0,,1.0,jul,2.0,0.0,,13:09:51,13:20:41,1
235,236,40.0,entrepreneur,,tertiary,0.0,70.0,0.0,cellular,20.0,nov,1.0,0.0,,14:24:29,14:25:26,0
236,237,58.0,admin.,married,secondary,0.0,3735.0,0.0,cellular,17.0,nov,2.0,0.0,,15:30:33,15:32:04,0
237,238,41.0,management,married,tertiary,0.0,8553.0,0.0,cellular,12.0,aug,12.0,0.0,,15:16:39,15:21:43,0
238,239,40.0,technician,married,secondary,0.0,84.0,0.0,cellular,8.0,aug,3.0,0.0,,17:26:28,17:28:27,0
239,240,41.0,,single,,0.0,942.0,0.0,cellular,27.0,oct,1.0,1.0,success,16:39:43,16:42:06,1
240,241,49.0,management,married,tertiary,0.0,68.0,1.0,,,,3.0,0.0,,09:18:22,09:21:05,0
241,242,41.0,technician,married,secondary,0.0,459.0,0.0,,19.0,may,1.0,0.0,,10:55:29,10:57:11,0
242,243,57.0,technician,married,secondary,0.0,1070.0,0.0,,19.0,jun,1.0,0.0,,17:18:00,17:19:13,0
243,244,59.0,retired,married,primary,0.0,3400.0,0.0,cellular,5.0,aug,3.0,0.0,,15:07:17,15:15:52,1
244,245,48.0,blue-collar,married,secondary,0.0,1730.0,0.0,cellular,4.0,feb,1.0,2.0,,15:53:25,16:01:34,1
245,246,46.0,technician,married,,0.0,6993.0,0.0,cellular,17.0,apr,3.0,1.0,success,09:30:56,09:36:22,0
246,247,44.0,blue-collar,married,,0.0,1529.0,0.0,cellular,30.0,apr,1.0,0.0,,17:15:15,17:21:02,1
247,248,48.0,management,divorced,tertiary,0.0,-547.0,0.0,cellular,21.0,nov,2.0,0.0,,11:33:59,11:38:34,0
248,249,33.0,technician,married,secondary,0.0,168.0,0.0,,26.0,may,2.0,0.0,,15:44:42,15:48:40,0
249,250,33.0,admin.,divorced,tertiary,0.0,891.0,0.0,cellular,8.0,may,2.0,0.0,,14:35:50,14:42:28,1
250,251,37.0,management,single,tertiary,0.0,-119.0,0.0,,11.0,jun,11.0,0.0,,13:49:39,13:55:54,0
251,252,39.0,blue-collar,married,,0.0,1181.0,0.0,cellular,30.0,jul,2.0,0.0,,09:12:00,09:22:50,1
252,253,39.0,self-employed,married,tertiary,0.0,2630.0,0.0,,12.0,jun,5.0,0.0,,17:44:36,17:55:27,1
253,254,24.0,unemployed,single,secondary,0.0,2696.0,0.0,cellular,7.0,sep,2.0,0.0,,14:24:25,14:26:12,0
254,255,58.0,blue-collar,married,primary,,0.0,0.0,cellular,31.0,jul,25.0,0.0,,12:45:22,12:45:27,0
255,256,46.0,management,divorced,tertiary,0.0,-130.0,0.0,cellular,24.0,mar,2.0,0.0,,12:12:06,12:14:30,1
256,257,39.0,services,single,secondary,0.0,,0.0,,8.0,may,2.0,0.0,,09:12:25,09:14:57,0
257,258,36.0,blue-collar,married,primary,0.0,711.0,0.0,,23.0,may,2.0,0.0,,09:15:22,09:17:56,0
258,259,43.0,blue-collar,married,secondary,0.0,184.0,,cellular,16.0,jul,11.0,0.0,,13:41:08,13:58:07,1
259,260,35.0,blue-collar,single,tertiary,0.0,1830.0,0.0,cellular,14.0,oct,2.0,0.0,,14:30:58,14:33:44,0
260,261,48.0,blue-collar,married,primary,0.0,649.0,0.0,,19.0,jun,2.0,0.0,,09:14:08,09:16:24,0
261,262,48.0,,married,secondary,0.0,480.0,1.0,cellular,23.0,jul,1.0,0.0,,09:50:56,09:57:07,0
262,263,41.0,blue-collar,married,secondary,1.0,720.0,1.0,cellular,24.0,jul,1.0,0.0,,17:16:09,17:27:00,1
263,264,34.0,admin.,married,secondary,0.0,-33.0,1.0,cellular,10.0,jul,1.0,0.0,,15:44:43,16:00:44,1
264,265,32.0,entrepreneur,married,tertiary,0.0,762.0,0.0,cellular,19.0,jul,11.0,0.0,,09:40:42,09:43:49,1
265,266,51.0,admin.,married,secondary,,1415.0,0.0,,2.0,jun,3.0,0.0,,11:49:39,11:52:10,0
266,267,47.0,self-employed,married,,0.0,14.0,0.0,cellular,15.0,may,1.0,0.0,,16:57:49,17:00:11,0
267,268,44.0,services,married,secondary,0.0,,0.0,telephone,30.0,jul,5.0,0.0,,10:10:18,10:11:35,0
268,269,66.0,technician,married,secondary,0.0,0.0,0.0,cellular,6.0,feb,1.0,0.0,,11:06:59,11:19:30,1
269,270,61.0,blue-collar,married,primary,0.0,5.0,0.0,cellular,6.0,aug,2.0,3.0,success,13:54:28,14:03:50,1
270,271,41.0,blue-collar,married,secondary,0.0,114.0,0.0,,2.0,jun,3.0,0.0,,12:14:56,12:16:18,0
271,272,38.0,entrepreneur,married,secondary,0.0,3249.0,0.0,,2.0,jun,1.0,0.0,,15:25:20,15:31:44,0
272,273,54.0,housemaid,married,tertiary,0.0,440.0,0.0,cellular,19.0,nov,1.0,0.0,,17:23:00,17:24:29,0
273,274,48.0,unemployed,,secondary,0.0,201.0,0.0,cellular,,feb,2.0,2.0,success,16:59:44,17:06:30,1
274,275,44.0,management,single,tertiary,0.0,1090.0,0.0,cellular,19.0,jul,4.0,2.0,other,15:09:06,15:12:30,1
275,276,50.0,technician,,secondary,0.0,-584.0,0.0,cellular,20.0,aug,2.0,0.0,,14:14:52,14:16:07,0
276,277,55.0,technician,married,secondary,0.0,2055.0,0.0,,16.0,may,,0.0,,09:46:04,10:03:07,0
277,278,34.0,management,married,tertiary,0.0,697.0,0.0,cellular,5.0,aug,1.0,0.0,,11:02:47,11:05:33,0
278,279,50.0,housemaid,divorced,primary,0.0,120.0,0.0,cellular,21.0,jul,1.0,0.0,,12:52:02,12:53:41,0
279,280,34.0,blue-collar,married,secondary,1.0,1.0,0.0,cellular,9.0,jul,1.0,0.0,,09:50:00,09:56:34,0
280,281,29.0,blue-collar,married,secondary,0.0,76.0,0.0,cellular,6.0,feb,3.0,0.0,,12:19:39,12:22:57,0
281,282,46.0,management,married,secondary,1.0,-333.0,1.0,cellular,30.0,jul,2.0,0.0,,17:58:16,18:08:13,0
282,283,58.0,self-employed,divorced,tertiary,0.0,1382.0,0.0,,9.0,jun,1.0,0.0,,10:40:48,10:52:28,1
283,284,33.0,services,married,secondary,0.0,804.0,1.0,,8.0,may,1.0,0.0,,13:00:52,13:05:18,0
284,285,33.0,management,single,tertiary,0.0,87.0,0.0,cellular,12.0,aug,1.0,0.0,,15:39:09,15:55:27,1
285,286,60.0,retired,divorced,secondary,0.0,514.0,0.0,cellular,15.0,oct,2.0,10.0,success,10:10:01,10:13:08,1
286,287,45.0,blue-collar,married,,0.0,0.0,0.0,cellular,14.0,aug,2.0,0.0,,17:57:45,18:01:20,0
287,288,31.0,student,single,tertiary,0.0,4951.0,0.0,cellular,17.0,sep,3.0,3.0,failure,16:11:40,16:16:25,1
288,289,47.0,services,married,secondary,0.0,1160.0,0.0,cellular,3.0,feb,2.0,4.0,failure,10:13:10,10:15:07,0
289,290,39.0,entrepreneur,married,tertiary,0.0,0.0,0.0,cellular,31.0,jul,3.0,0.0,,15:25:23,15:26:33,0
290,291,32.0,blue-collar,single,secondary,0.0,799.0,1.0,cellular,23.0,jul,6.0,0.0,,12:45:30,13:20:08,1
291,292,52.0,unemployed,,secondary,0.0,105.0,0.0,cellular,20.0,nov,1.0,0.0,,11:53:55,11:55:31,0
292,293,30.0,admin.,married,secondary,0.0,166.0,0.0,,14.0,jun,1.0,0.0,,17:58:00,17:58:30,0
293,294,37.0,blue-collar,married,secondary,0.0,903.0,0.0,cellular,20.0,apr,1.0,0.0,,15:41:00,15:43:04,0
294,295,47.0,services,married,secondary,0.0,0.0,1.0,,20.0,jun,2.0,0.0,,14:14:47,14:15:38,0
295,296,34.0,admin.,single,tertiary,0.0,,0.0,cellular,28.0,jul,2.0,0.0,,10:02:04,10:03:20,0
296,297,20.0,student,single,,,457.0,0.0,cellular,16.0,jun,1.0,0.0,,12:17:11,12:20:45,0
297,298,25.0,self-employed,single,tertiary,0.0,42.0,0.0,cellular,5.0,jun,1.0,1.0,success,14:50:37,14:53:06,1
298,299,25.0,admin.,single,tertiary,0.0,220.0,0.0,,26.0,,1.0,0.0,,13:29:01,13:30:09,0
299,300,23.0,services,single,secondary,0.0,279.0,0.0,cellular,18.0,may,1.0,1.0,failure,12:04:51,12:18:54,1
300,301,48.0,entrepreneur,divorced,tertiary,0.0,275.0,1.0,,5.0,jun,1.0,0.0,,09:25:42,09:26:16,0
301,302,35.0,management,married,,0.0,0.0,0.0,cellular,26.0,aug,2.0,0.0,,15:56:11,16:03:27,0
302,303,30.0,management,single,tertiary,0.0,2344.0,0.0,cellular,20.0,oct,2.0,3.0,failure,12:58:57,13:04:13,0
303,304,35.0,management,married,tertiary,0.0,8.0,0.0,cellular,23.0,apr,3.0,0.0,,14:02:03,14:03:36,1
304,305,37.0,management,married,tertiary,0.0,3737.0,0.0,cellular,7.0,jul,1.0,0.0,,10:15:03,10:18:47,1
305,306,35.0,,single,tertiary,0.0,147.0,0.0,cellular,21.0,aug,2.0,0.0,,15:04:04,15:06:18,0
306,307,44.0,entrepreneur,married,tertiary,0.0,1631.0,0.0,,6.0,may,2.0,0.0,,09:57:25,10:03:11,0
307,308,30.0,student,single,secondary,0.0,1779.0,0.0,cellular,11.0,aug,1.0,1.0,success,13:26:57,13:30:50,1
308,309,32.0,management,single,tertiary,0.0,933.0,0.0,cellular,12.0,may,4.0,1.0,failure,14:17:15,14:19:42,0
309,310,19.0,student,single,secondary,0.0,394.0,0.0,cellular,5.0,apr,3.0,0.0,,12:44:12,12:49:39,1
310,311,,retired,married,secondary,0.0,1227.0,0.0,cellular,,feb,1.0,0.0,,11:03:29,11:08:06,0
311,312,29.0,management,married,tertiary,0.0,,0.0,cellular,28.0,jan,1.0,0.0,,09:34:55,09:36:05,0
312,313,25.0,student,single,,0.0,722.0,0.0,telephone,21.0,apr,2.0,0.0,,15:14:38,15:25:01,1
313,314,,management,married,tertiary,0.0,0.0,0.0,cellular,2.0,feb,1.0,0.0,,15:39:54,15:44:33,0
314,315,31.0,technician,single,secondary,0.0,46.0,0.0,cellular,27.0,aug,6.0,,,15:03:08,15:08:21,0
315,316,47.0,admin.,divorced,secondary,0.0,555.0,1.0,telephone,17.0,oct,1.0,0.0,,17:08:36,17:16:34,1
316,317,59.0,services,divorced,secondary,0.0,1.0,,cellular,28.0,jan,1.0,5.0,other,14:48:06,14:58:08,1
317,318,42.0,blue-collar,married,secondary,0.0,3.0,0.0,telephone,20.0,nov,1.0,1.0,failure,17:46:43,17:47:30,0
318,319,59.0,management,divorced,tertiary,0.0,17056.0,0.0,cellular,20.0,nov,2.0,0.0,,13:58:19,14:06:09,0
319,320,38.0,technician,single,secondary,0.0,1255.0,0.0,cellular,6.0,may,1.0,4.0,failure,17:04:45,17:06:45,0
320,321,33.0,services,married,secondary,0.0,386.0,0.0,cellular,12.0,nov,1.0,4.0,failure,15:17:15,15:21:28,1
321,322,30.0,blue-collar,single,secondary,0.0,0.0,0.0,,5.0,may,2.0,0.0,,17:54:15,17:54:20,0
322,323,31.0,self-employed,married,tertiary,0.0,94.0,0.0,cellular,22.0,aug,2.0,0.0,,10:11:55,10:21:34,1
323,324,52.0,admin.,divorced,secondary,0.0,725.0,0.0,cellular,20.0,apr,3.0,1.0,other,17:55:50,17:56:47,0
324,325,47.0,blue-collar,married,secondary,0.0,1568.0,0.0,cellular,19.0,feb,1.0,7.0,success,09:54:03,10:00:31,1
325,326,27.0,self-employed,single,secondary,0.0,152.0,0.0,cellular,30.0,jul,3.0,0.0,,13:56:47,13:58:07,0
326,327,56.0,technician,married,secondary,0.0,28.0,0.0,,15.0,may,1.0,0.0,,10:56:02,10:59:58,0
327,328,31.0,technician,single,tertiary,0.0,438.0,0.0,cellular,20.0,nov,1.0,2.0,failure,15:06:18,15:09:03,0
328,329,77.0,retired,married,primary,0.0,29340.0,0.0,cellular,15.0,mar,1.0,2.0,other,16:50:53,16:55:10,1
329,330,29.0,management,single,secondary,0.0,-1"
